tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt15028080,ET Bahamas Beach Day!,2021,"News,Talk-Show",,,
tt15046058,The Roles That Changed My Life,2021,Unknown,8.2,190.0,
tt15052584,Nicolas Cage on the Roles That Changed His Life,2021,Unknown,6.7,7.0,
tt1509952,Episode dated 10 September 2009,2009,News,,,
tt1519189,The Hollywood Machine,2002,Documentary,6.4,9.0,
tt15310842,Racing with the Moon: The Story - The People,2004,"Short,Talk-Show",,,
tt1552224,Outcast,2014,"Action,Adventure,Thriller",4.6,14599.0,https://image.tmdb.org/t/p/w500/efsgCTlofzIuysfokEp7hwQnUho.jpg
tt1552595,Eva Mendes/Bon Jovi,2009,"Comedy,Music,Talk-Show",7.0,18.0,
tt1554041,Episode dated 3 August 2006,2006,"News,Talk-Show",,,
tt15701326,Ah My Goddess: Bad Goddess Touched by an Angel,2021,Animation,5.7,9.0,
tt15721690,How did Jean Claude Van Damme Change Our Life,2020,"Documentary,Short",9.0,9.0,
tt1586202,Dana Carvey/Joe Garagiola/David Teitelbaum & Jack Saltzberg,1988,"Comedy,Talk-Show",8.0,22.0,
